date,策略净值,等权基准净值
2021-08-17,14468397.7638567,10932847.259240774
2021-08-18,14443444.0088567,10862829.199568247
2021-08-19,14296892.352156699,10728701.281039378
2021-08-20,14234838.912856698,10637448.476531355
2021-08-23,14418896.9037567,10781886.275191508
2021-08-24,14582296.081656698,10917806.77869049
2021-08-25,14633685.044656698,10973779.062093738
2021-08-26,14594750.011356698,10941569.985457376
2021-08-27,14526746.7796567,10933730.7378903
2021-08-30,14660465.007956699,11007193.90489692
2021-08-31,14693582.4888207,11008796.961268824
2021-09-01,14673009.2448207,10983760.077073326
2021-09-02,14709674.3828207,11045541.488810807
2021-09-03,14724933.9430207,11036257.844756356
2021-09-06,14889206.6999207,11116883.251537379
2021-09-07,14995948.1268207,11154771.196634471
2021-09-08,14909157.4459207,11135663.53185808
2021-09-09,14981204.9969207,11102730.52888341
2021-09-10,14987380.501220701,11142928.064881325
2021-09-13,15119311.842820698,11234008.508422125
2021-09-14,14990532.5335207,11169073.507843405
2021-09-15,15015298.941820698,11238739.823027013
2021-09-16,15175058.7292207,11289053.603254152
2021-09-17,15033421.3980207,11205815.39287445
2021-09-22,15214067.470620701,11274643.997632483
2021-09-23,15457275.768420702,11421704.135185283
2021-09-24,15453008.0660207,11418347.161016185
2021-09-27,15644338.244820701,11524284.687648922
2021-09-28,15701116.0271207,11535138.58859078
2021-09-29,15781847.5902207,11538320.609230367
2021-09-30,15688295.98218325,11492445.522417836
2021-10-08,16265249.362183249,11678280.583084987
2021-10-11,16584008.222183248,11832864.799056951
2021-10-12,16829711.302183248,11952494.15510543
2021-10-13,16936140.89218325,11967593.042934433
2021-10-14,16920558.93218325,12000520.865592161
2021-10-15,17134167.982183248,12156916.20026918
2021-10-18,17268949.19218325,12273461.313080534
2021-10-19,17635543.87218325,12417311.589111604
2021-10-20,17398641.592183247,12262243.031903122
2021-10-21,16928264.94218325,12121444.58472532
2021-10-22,16754596.58218325,11945911.707219664
2021-10-25,16624588.852183249,11894195.500618037
2021-10-26,16575050.16218325,11841175.388904322
2021-10-27,16125017.71218325,11620826.934744699
2021-10-28,15835883.95218325,11435464.53879959
2021-10-29,15772396.472177248,11418573.311847342
2021-11-01,15845732.772177247,11371567.15559039
2021-11-02,15864282.072177248,11305974.646820478
2021-11-03,15428257.77217725,11192697.815576328
2021-11-04,15313036.67217725,11137885.658959566
2021-11-05,15660432.372177249,11175129.847484719
2021-11-08,15815781.972177248,11219709.895715538
2021-11-09,15977737.67217725,11245133.246951772
2021-11-10,15733142.67217725,11136463.357824918
2021-11-11,15851937.67217725,11248716.26892484
2021-11-12,15887452.67217725,11254989.952820469
2021-11-15,15820169.27217725,11200593.599827945
2021-11-16,15832589.67217725,11195620.553048272
2021-11-17,15655188.27217725,11109249.362668099
2021-11-18,15692764.072177248,11122727.377125382
2021-11-19,15356666.27217725,11069724.091678422
2021-11-22,15473007.572177248,11121145.303494789
2021-11-23,15662597.67217725,11213794.148295728
2021-11-24,15412497.472177248,11185999.028256038
2021-11-25,15413289.27217725,11247433.460747153
2021-11-26,14397350.17217725,10911608.113076398
2021-11-29,14442269.472177248,10807729.520439075
2021-11-30,13949756.13566579,10699050.215335736
2021-12-01,13889647.204465788,10655294.370925575
2021-12-02,13846903.231465787,10655937.12692294
2021-12-03,13913997.853265788,10667528.545635767
2021-12-06,13947992.62886579,10767615.342905937
2021-12-07,13876113.430465788,10797252.537939912
2021-12-08,13882183.284265786,10801957.798056334
2021-12-09,13943826.412465788,10768514.122176198
2021-12-10,13970656.801065788,10802611.255256627
2021-12-13,14030353.96886579,10837863.495926123
2021-12-14,13963167.32406579,10820081.58678041
2021-12-15,13918211.52526579,10801736.326360535
2021-12-16,13965319.441065788,10826727.377463523
2021-12-17,14155371.198065788,10929738.868094815
2021-12-20,14125484.517265785,10865836.733542519
2021-12-21,14092421.42866579,10873353.150236826
2021-12-22,14135522.779265787,10961751.33827369
2021-12-23,14312163.38106579,11065655.971240826
2021-12-24,14371823.840865787,11103577.21270541
2021-12-27,14344625.00846579,11120014.918867303
2021-12-28,14400158.177265786,11142772.48174396
2021-12-29,14328916.831465788,11159510.022019304
2021-12-30,14314938.520065788,11144534.4493134
2021-12-31,14314012.047121707,11127671.63652266
2022-01-04,14595744.58712171,11202675.006167416
2022-01-05,14645950.827121709,11267737.33109824
2022-01-06,14776085.307121705,11286247.01580425
2022-01-07,14724547.90712171,11266181.311864011
2022-01-10,14648041.527121708,11280738.141198335
2022-01-11,14922733.347121708,11357022.431888578
2022-01-12,15017190.007121708,11436003.674857346
2022-01-13,14934597.687121708,11493234.101606926
2022-01-14,15118934.827121709,11565902.010829378
2022-01-17,15081360.78712171,11536902.490859408
2022-01-18,15178549.687121708,11561606.65241902
2022-01-19,15243974.46712171,11667629.364595685
2022-01-20,15284174.507121708,11760869.731414352
2022-01-21,15325105.187121708,11798366.689800773
2022-01-24,15195586.78712171,11771921.970561711
2022-01-25,15280844.187121708,11673763.691715477
2022-01-26,15401549.78712171,11748128.317821529
2022-01-27,15546481.647121709,11818758.098138254
2022-01-28,15678710.36909071,11854953.614110062
2022-02-07,16244287.489090709,12228183.373181676
2022-02-08,16055717.269090708,12241421.708603844
2022-02-09,16063304.38909071,12240430.90420976
2022-02-10,16010060.889090708,12302253.312812332
2022-02-11,16188480.87909071,12357019.663865933
2022-02-14,16252901.969090708,12341515.403697945
2022-02-15,15920161.659090709,12224815.374144852
2022-02-16,15830197.13909071,12146843.798518365
2022-02-17,15705894.69909071,12133444.058484005
2022-02-18,15763369.779090706,12224857.161242263
2022-02-21,15815412.75909071,12242291.117236186
2022-02-22,16030069.20909071,12385480.409398748
2022-02-23,16067240.749090709,12399387.626277568
2022-02-24,16225196.689090708,12569573.22949485
2022-02-25,16051592.97909071,12500100.411565276
2022-02-28,16240860.75876971,12401457.679878725
2022-03-01,16918127.07876971,12643379.431433175
2022-03-02,17427724.11876971,12937760.47037011
2022-03-03,17336080.27876971,13003711.918302229
2022-03-04,17991000.43876971,13201410.784964856
2022-03-07,18610718.23876971,13583299.67976486
2022-03-08,19037474.758769706,13790763.256261209
2022-03-09,17979036.23876971,13703733.547408013
2022-03-10,17767892.31876971,13391143.732465997
2022-03-11,18038168.51876971,13405763.314531373
2022-03-14,17610516.79876971,13162879.280114817
2022-03-15,17234128.91876971,12938872.730432332
2022-03-16,17113328.59876971,12870387.684589963
2022-03-17,17780565.55876971,13093624.462959316
2022-03-18,17957250.71876971,13251677.121793069
2022-03-21,18719741.07876971,13479299.547027087
2022-03-22,18729021.998769708,13537562.203001313
2022-03-23,19211963.79876971,13651797.81725277
2022-03-24,19037475.95876971,13764237.17858396
2022-03-25,19110453.558769707,13863773.58348522
2022-03-28,18255285.55876971,13536325.76786318
2022-03-29,18275141.47876971,13443054.225604095
2022-03-30,18357155.43876971,13379154.640901692
2022-03-31,18020373.168538705,13331575.715292417
2022-04-01,17813202.64853871,13220071.026750188
