date,成分数,换手率,CR5,CR10,HHI
2016-06-01,30,0.6363636363636364,0.16666666666666669,0.33333333333333337,0.03333333333333335
2016-07-01,30,0.5365853658536586,0.16666666666666669,0.33333333333333337,0.03333333333333335
2016-08-01,30,0.42105263157894735,0.16666666666666669,0.33333333333333337,0.03333333333333335
2016-09-01,30,0.42105263157894735,0.16666666666666669,0.33333333333333337,0.03333333333333335
2016-10-10,30,0.3783783783783784,0.16666666666666669,0.33333333333333337,0.03333333333333335
2016-11-01,30,0.18181818181818182,0.16666666666666669,0.33333333333333337,0.03333333333333335
2016-12-01,30,0.3783783783783784,0.16666666666666669,0.33333333333333337,0.03333333333333335
2017-01-03,30,0.2857142857142857,0.16666666666666669,0.33333333333333337,0.03333333333333335
2017-02-03,30,0.3783783783783784,0.16666666666666669,0.33333333333333337,0.03333333333333335
2017-03-01,30,0.23529411764705882,0.16666666666666669,0.33333333333333337,0.03333333333333335
2017-04-05,30,0.2857142857142857,0.16666666666666669,0.33333333333333337,0.03333333333333335
2017-05-02,30,0.5,0.16666666666666669,0.33333333333333337,0.03333333333333335
2017-06-01,30,0.6363636363636364,0.16666666666666669,0.33333333333333337,0.03333333333333335
2017-07-03,30,0.3783783783783784,0.16666666666666669,0.33333333333333337,0.03333333333333335
2017-08-01,30,0.6363636363636364,0.16666666666666669,0.33333333333333337,0.03333333333333335
2017-09-01,30,0.42105263157894735,0.16666666666666669,0.33333333333333337,0.03333333333333335
2017-10-09,30,0.3783783783783784,0.16666666666666669,0.33333333333333337,0.03333333333333335
2017-11-01,30,0.5365853658536586,0.16666666666666669,0.33333333333333337,0.03333333333333335
2017-12-01,30,0.723404255319149,0.16666666666666669,0.33333333333333337,0.03333333333333335
2018-01-02,30,0.7755102040816326,0.16666666666666669,0.33333333333333337,0.03333333333333335
2018-02-01,30,0.6956521739130435,0.16666666666666669,0.33333333333333337,0.03333333333333335
2018-03-01,30,0.46153846153846156,0.16666666666666669,0.33333333333333337,0.03333333333333335
2018-04-02,30,0.5365853658536586,0.16666666666666669,0.33333333333333337,0.03333333333333335
2018-05-02,30,0.5,0.16666666666666669,0.33333333333333337,0.03333333333333335
2018-06-01,30,0.75,0.16666666666666669,0.33333333333333337,0.03333333333333335
2018-07-02,30,0.75,0.16666666666666669,0.33333333333333337,0.03333333333333335
2018-08-01,30,0.6046511627906976,0.16666666666666669,0.33333333333333337,0.03333333333333335
2018-09-03,30,0.6666666666666666,0.16666666666666669,0.33333333333333337,0.03333333333333335
2018-10-08,30,0.6666666666666666,0.16666666666666669,0.33333333333333337,0.03333333333333335
2018-11-01,30,0.6363636363636364,0.16666666666666669,0.33333333333333337,0.03333333333333335
2018-12-03,30,0.8,0.16666666666666669,0.33333333333333337,0.03333333333333335
2019-01-02,30,0.8235294117647058,0.16666666666666669,0.33333333333333337,0.03333333333333335
2019-02-01,30,0.6956521739130435,0.16666666666666669,0.33333333333333337,0.03333333333333335
2019-03-01,30,0.8679245283018868,0.16666666666666669,0.33333333333333337,0.03333333333333335
