date,240019.OF,017469.OF,539001.OF,011613.OF,007466.OF,000217.OF
2023/12/27,0.141518,0.089473,0.249098,0.13924,0.212619,0.168053
2023/12/28,0.141948,0.090319,0.24772,0.141864,0.21084,0.167309
2023/12/29,0.142877,0.090749,0.246091,0.142138,0.21187,0.166275
2023/12/31,0.142874,0.090746,0.246109,0.142127,0.211857,0.166287
2024/1/2,0.142364,0.089753,0.243008,0.140995,0.21526,0.16862
2024/1/3,0.143278,0.088658,0.24197,0.139605,0.21823,0.168259
2024/1/4,0.143792,0.088155,0.240934,0.138781,0.220232,0.168106
2024/1/5,0.142859,0.095233,0.238098,0.142853,0.21429,0.166668
2024/1/8,0.142659,0.092456,0.244488,0.139714,0.213522,0.167161
2024/1/9,0.14293,0.091875,0.244728,0.139158,0.214481,0.166826
2024/1/10,0.142565,0.091187,0.247339,0.138483,0.213471,0.166955
2024/1/11,0.142005,0.092143,0.24739,0.140227,0.211673,0.166562
2024/1/12,0.143192,0.090245,0.24799,0.138505,0.21286,0.167208
2024/1/16,0.144648,0.090154,0.246676,0.137411,0.21386,0.16725
2024/1/17,0.145557,0.088866,0.248541,0.135609,0.213896,0.167532
2024/1/18,0.145035,0.089905,0.250885,0.136708,0.211342,0.166126
2024/1/19,0.144485,0.089391,0.25462,0.135577,0.20933,0.166598
2024/1/22,0.146166,0.087619,0.257914,0.133292,0.206522,0.168488
2024/1/23,0.145302,0.08822,0.257565,0.133975,0.207298,0.167641
2024/1/24,0.146274,0.08681,0.256954,0.133253,0.210431,0.166279
2024/1/25,0.146648,0.087648,0.253989,0.134409,0.213744,0.163561
2024/1/26,0.149004,0.084676,0.253071,0.131461,0.216834,0.164955
2024/1/29,0.150412,0.082858,0.255852,0.128169,0.217549,0.165161
2024/1/30,0.151114,0.080099,0.25756,0.125305,0.21811,0.167813
2024/1/31,0.152692,0.079,0.254656,0.124268,0.220009,0.169375
2024/2/1,0.151486,0.079915,0.257332,0.124846,0.217321,0.1691
2024/2/2,0.151529,0.077125,0.26208,0.121858,0.217232,0.170176
2024/2/5,0.142823,0.093508,0.243548,0.140767,0.21339,0.165964
2024/2/6,0.141707,0.098145,0.238118,0.146763,0.212613,0.162653
2024/2/7,0.139166,0.099674,0.237899,0.149155,0.212897,0.161208
2024/2/8,0.137976,0.101979,0.23732,0.150323,0.211643,0.160758
2024/2/20,0.140275,0.102409,0.231979,0.149655,0.216581,0.1591
2024/2/21,0.143324,0.101776,0.230312,0.149318,0.216728,0.158542
2024/2/22,0.141548,0.102189,0.234532,0.148698,0.216693,0.15634
2024/2/23,0.142202,0.102853,0.233649,0.149037,0.216475,0.155784
2024/2/26,0.139616,0.104417,0.234898,0.150586,0.213006,0.157476
2024/2/27,0.137991,0.108298,0.232435,0.153967,0.211532,0.155777
2024/2/28,0.139618,0.104136,0.234519,0.151364,0.212753,0.15761
2024/2/29,0.137711,0.108314,0.23276,0.155264,0.21088,0.155071
2024/3/1,0.136607,0.108756,0.234846,0.155601,0.209432,0.154758
2024/3/4,0.135292,0.10889,0.233487,0.155826,0.210181,0.156323
2024/3/5,0.141096,0.101174,0.235154,0.145914,0.212271,0.164391
2024/3/6,0.140124,0.099744,0.236966,0.145146,0.212403,0.165617
2024/3/7,0.140405,0.097402,0.240407,0.141913,0.212829,0.167043
2024/3/8,0.140149,0.099135,0.23622,0.14332,0.213966,0.16721
2024/3/11,0.139601,0.100361,0.234578,0.145702,0.2123,0.167458
2024/3/12,0.138844,0.100874,0.239129,0.145867,0.208023,0.167264
2024/3/13,0.138423,0.101041,0.238138,0.14613,0.208421,0.167848
2024/3/14,0.138664,0.099812,0.23841,0.144855,0.209716,0.168544
2024/3/15,0.139527,0.100089,0.235512,0.145511,0.210254,0.169107
2024/3/18,0.138313,0.102331,0.236317,0.147465,0.208794,0.16678
2024/3/19,0.13785,0.10122,0.238237,0.145951,0.208921,0.167821
2024/3/20,0.138028,0.100603,0.239684,0.145573,0.208905,0.167206
2024/3/21,0.13836,0.099938,0.239686,0.14357,0.208857,0.169589
2024/3/22,0.138574,0.099423,0.241483,0.142134,0.209135,0.169251
2024/3/25,0.139751,0.097554,0.24167,0.140576,0.210434,0.170015
2024/3/26,0.141964,0.095622,0.241144,0.139319,0.211114,0.170837
2024/3/27,0.143165,0.09294,0.24289,0.136611,0.2117,0.172693
2024/3/28,0.141184,0.09393,0.242272,0.138262,0.21095,0.173401
2024/3/31,0.140457,0.09344,0.240861,0.137412,0.212618,0.175212
2024/4/1,0.140638,0.093836,0.239613,0.138549,0.211519,0.175846
2024/4/2,0.141281,0.092987,0.23816,0.137837,0.213347,0.176388
2024/4/3,0.140583,0.091933,0.238804,0.135847,0.215136,0.177697
2024/4/8,0.142003,0.094272,0.236865,0.141325,0.213336,0.172199
2024/4/9,0.141067,0.095133,0.23716,0.142668,0.211711,0.172261
2024/4/10,0.141988,0.093203,0.236617,0.140952,0.213355,0.173886
2024/4/11,0.14103,0.092662,0.239503,0.140695,0.214137,0.171972
2024/4/12,0.140412,0.093202,0.235762,0.140651,0.214064,0.17591
2024/4/15,0.142338,0.094195,0.231067,0.142287,0.217213,0.172901
2024/4/16,0.143044,0.092012,0.232478,0.139737,0.218036,0.174693
2024/4/17,0.143982,0.094042,0.227273,0.141651,0.219394,0.173658
2024/4/18,0.145699,0.093232,0.226302,0.141036,0.220163,0.173567
2024/4/19,0.146811,0.091227,0.223502,0.139737,0.222724,0.176
2024/4/22,0.146477,0.092093,0.226959,0.140614,0.219773,0.174084
2024/4/23,0.147006,0.092293,0.231547,0.14048,0.217732,0.170941
2024/4/24,0.145851,0.093836,0.230964,0.141722,0.216207,0.17142
2024/4/25,0.147652,0.093759,0.229445,0.140586,0.217433,0.171124
2024/4/26,0.144546,0.095806,0.231834,0.142942,0.213568,0.171304
2024/4/29,0.144718,0.098644,0.230758,0.145965,0.211166,0.168749
2024/4/30,0.146331,0.097939,0.227935,0.145394,0.213467,0.168934
2024/5/6,0.142858,0.09524,0.238092,0.142859,0.214284,0.166666
2024/5/7,0.143062,0.094469,0.238537,0.141794,0.214888,0.16725
2024/5/8,0.143442,0.093419,0.239037,0.140657,0.216103,0.167341
2024/5/9,0.142678,0.095288,0.237602,0.142637,0.215896,0.165898
2024/5/10,0.143883,0.092642,0.237629,0.140204,0.216407,0.169235
2024/5/13,0.144805,0.091228,0.238171,0.139607,0.217817,0.168372
2024/5/14,0.144152,0.091223,0.240215,0.139227,0.2173,0.167883
2024/5/15,0.143777,0.090025,0.243431,0.137074,0.216593,0.169099
2024/5/16,0.145697,0.090086,0.242046,0.136132,0.216139,0.169901
2024/5/17,0.146346,0.091217,0.240436,0.136649,0.216263,0.16909
2024/5/20,0.144683,0.090953,0.240433,0.135589,0.216757,0.171585
2024/5/21,0.145861,0.090064,0.241406,0.134783,0.217513,0.170373
2024/5/22,0.146251,0.090389,0.240892,0.135704,0.216745,0.170019
2024/5/23,0.146969,0.089991,0.242805,0.134933,0.217018,0.168283
2024/5/24,0.146564,0.088217,0.246597,0.133044,0.217992,0.167586
2024/5/28,0.146378,0.090108,0.245413,0.133067,0.218637,0.166398
2024/5/29,0.145578,0.08986,0.244389,0.133279,0.219261,0.167635
2024/5/30,0.144972,0.091885,0.242434,0.135233,0.218518,0.166958
2024/5/31,0.145102,0.091932,0.242086,0.135231,0.218283,0.167366
2024/6/3,0.143844,0.09364,0.243162,0.136496,0.216685,0.166173
2024/6/4,0.143893,0.093119,0.243105,0.136613,0.216437,0.166834
2024/6/5,0.142857,0.095237,0.238101,0.142854,0.214285,0.166666
2024/6/6,0.142579,0.094453,0.237777,0.141265,0.214712,0.169214
2024/6/7,0.143369,0.094166,0.23709,0.140217,0.216178,0.16898
2024/6/11,0.141061,0.098487,0.23995,0.143569,0.212623,0.16431
2024/6/12,0.139847,0.097722,0.241861,0.142692,0.213806,0.164072
2024/6/13,0.138844,0.098888,0.243319,0.143292,0.211573,0.164084
2024/6/14,0.139928,0.098031,0.244387,0.142184,0.211549,0.163921
2024/6/17,0.138558,0.099295,0.246795,0.142394,0.209009,0.163949
2024/6/18,0.138813,0.099044,0.246619,0.142191,0.209514,0.16382
2024/6/20,0.139317,0.100485,0.244178,0.14154,0.209102,0.165378
2024/6/21,0.13901,0.100905,0.24329,0.142011,0.208891,0.165893
2024/6/24,0.141166,0.099221,0.243654,0.140362,0.209438,0.166159
2024/6/25,0.142265,0.095481,0.24746,0.137099,0.211001,0.166694
2024/6/26,0.14181,0.096968,0.246928,0.13853,0.210964,0.1648
2024/6/27,0.143667,0.095318,0.248249,0.136414,0.211653,0.1647
2024/6/28,0.144077,0.095027,0.246287,0.13549,0.213066,0.166052
2024/6/30,0.144073,0.095032,0.24629,0.135474,0.213077,0.166052
2024/7/1,0.144834,0.094121,0.246433,0.134163,0.21558,0.164868
2024/7/2,0.146705,0.092607,0.248335,0.13207,0.215644,0.164639
2024/7/3,0.145095,0.093724,0.25007,0.132234,0.213298,0.165579
2024/7/5,0.142475,0.094846,0.24099,0.141878,0.213569,0.166242
2024/7/8,0.143266,0.094693,0.241828,0.140728,0.212688,0.166798
2024/7/9,0.14338,0.097078,0.239834,0.142635,0.212911,0.164163
2024/7/10,0.14376,0.096963,0.242192,0.142525,0.209197,0.165363
2024/7/11,0.143516,0.09804,0.237421,0.144514,0.210262,0.166247
2024/7/12,0.145682,0.097647,0.237515,0.143866,0.209294,0.165996
2024/7/15,0.146275,0.098145,0.237086,0.142809,0.21027,0.165414
2024/7/16,0.144903,0.100675,0.235283,0.144814,0.208118,0.166207
2024/7/17,0.146756,0.100625,0.229918,0.14519,0.208287,0.169224
2024/7/18,0.146397,0.100984,0.228605,0.146201,0.208828,0.168985
2024/7/19,0.1466,0.103812,0.227286,0.149412,0.207852,0.165038
2024/7/22,0.144407,0.104073,0.230635,0.14974,0.205916,0.165228
2024/7/23,0.14744,0.100235,0.23272,0.14579,0.20747,0.166344
2024/7/24,0.148717,0.100223,0.226383,0.145523,0.209562,0.169593
2024/7/25,0.148935,0.100508,0.225935,0.147091,0.210369,0.167163
2024/7/26,0.14666,0.101124,0.227633,0.148133,0.208767,0.167683
2024/7/29,0.148547,0.099232,0.228101,0.145699,0.209716,0.168705
2024/7/30,0.148502,0.10088,0.225703,0.146741,0.208922,0.169251
2024/7/31,0.145049,0.10339,0.227991,0.15005,0.206434,0.167086
2024/8/1,0.145887,0.10427,0.223359,0.1498,0.207347,0.169336
2024/8/2,0.146817,0.102568,0.220653,0.148837,0.209301,0.171824
2024/8/5,0.142855,0.095654,0.23782,0.142846,0.214174,0.166651
2024/8/6,0.141246,0.096628,0.240077,0.14446,0.213033,0.164556
2024/8/7,0.141984,0.095915,0.238249,0.143815,0.21471,0.165327
2024/8/8,0.140909,0.095757,0.243773,0.142789,0.212867,0.163904
2024/8/9,0.1411,0.095316,0.244356,0.141796,0.212347,0.165085
