date,策略净值,恒生ETF_净值,纳指ETF_净值,日经ETF_净值,德国ETF_净值,标普500ETF_净值,黄金ETF_净值
2021-07-22,1213858.92265812,984835.4414897888,1798789.4546833315,1197114.864456426,1178098.8273904012,1435339.244811275,1235421.104876385
2021-07-23,1217832.3543581201,970810.8892095368,1820081.5175159345,1198613.2558922442,1187731.6877942474,1449877.3247189557,1239797.5100205634
2021-07-26,1214718.24175812,932259.7948938427,1824879.7288584928,1209301.7814677479,1185805.1157134783,1455746.4014224266,1244039.2976913727
2021-07-27,1203943.68735812,891880.1112549359,1803227.8001751981,1215195.4544486331,1180988.6855115548,1448208.1377665922,1240066.7449673025
2021-07-28,1209771.8439581199,907462.7324231243,1816063.0155165417,1208602.5321310328,1189658.2598750168,1452084.959075307,1244914.7570214977
2021-07-29,1219868.47415812,938289.8242154061,1819901.5845905885,1217093.416934003,1198327.8342384782,1458600.1726635639,1247640.983733842
2021-07-30,1209691.01545812,921758.4492349271,1799569.1640264976,1192919.3684361347,1188694.973834632,1443362.1111306988,1254609.8896234415
2021-08-02,1210785.7212581201,932056.9045673854,1801488.4485635208,1212498.3498641604,1189658.2598750168,1441854.4583995317,1239292.0258655932
2021-08-03,1212561.52035812,929617.7119759776,1811924.5582335852,1210600.3873787904,1187731.6877942474,1452515.7169984977,1241412.9197009979
2021-08-04,1216021.31615812,938357.454324225,1816063.0155165417,1212198.6715769966,1198327.8342384782,1446754.3297758242,1243197.7156062014
2021-08-05,1216828.23115812,930905.2604286378,1829198.119066795,1213197.5992008755,1200254.4063192476,1456231.004086016,1240874.4498075196
2021-08-06,1213998.84065812,929211.2872267887,1818642.0541131669,1213896.8485375908,1199291.120278863,1457361.743634391,1234208.6561096131
2021-08-09,1207011.87655812,935308.9466571712,1827638.7003804639,1212598.2426265483,1193511.4040365552,1460753.9622795167,1203607.6973453162
2021-08-10,1207096.37975812,946420.2514880073,1817622.4342028731,1214396.3123495302,1194474.6900769398,1462261.6150106837,1197178.152855641
2021-08-11,1207760.22475812,948317.1150163136,1813963.7980541727,1219790.521518476,1196401.2621577089,1465599.9889154104,1193474.8350783098
2021-08-12,1212503.5100581201,942422.990008663,1819481.7410981145,1217692.7735083306,1206034.1225615551,1468507.6048969466,1208017.979734449
2021-08-13,1214079.87015812,938357.454324225,1826619.0804701701,1218092.344557882,1208923.980682709,1471899.823542072,1210946.5784100704
2021-08-16,1213124.2433581199,929550.0818671585,1824699.7959331467,1203008.5374373111,1208923.980682709,1473838.2341964294,1222258.012198895
2021-08-17,1211101.16745812,914576.775774616,1809285.541995178,1203807.6795364143,1207960.6946423245,1464576.9388478328,1233973.298407828
2021-08-18,1210102.79645812,919726.3254889825,1796090.4608031427,1211099.8511907298,1207960.6946423245,1452246.4932965033,1232324.0114824397
2021-08-19,1200866.0991581199,900416.963276726,1803767.598951236,1193718.5105352378,1191584.831955786,1452731.095960093,1227947.6063382612
2021-08-20,1202224.0144581199,885647.1916069153,1826858.9910372982,1185127.7329698794,1193511.4040365552,1467430.71008897,1232930.2358658256
