code,history_count,history_pe_max,history_pe_mean,history_pe_median,history_pe_min,is_positive,name,pe_ttm,percentile
600030.XSHG,2453,50.3361,18.9624,18.5245,7.9206,True,中信证券,23.6185,74.11
300124.XSHE,1785,130.2954,44.3071,40.4394,21.0992,True,汇川技术,48.8447,74.12
601888.XSHG,2019,76.0177,36.5308,31.0744,21.3244,True,中国中免,42.4003,74.94
000630.XSHE,2453,437.2401,47.9684,28.7952,-49.7593,True,铜陵有色,63.3172,75.01
000001.XSHE,2453,111.0765,16.4429,8.3121,5.0158,True,平安银行,10.4739,75.17
002426.XSHE,1859,167.5217,65.7056,58.4636,29.3452,True,胜利精密,82.2918,75.69
601727.XSHG,2226,126.4204,39.396,39.4866,13.5249,True,上海电气,52.9524,75.74
300015.XSHE,2008,128.3341,68.4993,65.9241,33.6664,True,爱尔眼科,77.5734,75.9
002153.XSHE,2453,174.8337,56.5655,53.7807,19.8234,True,石基信息,70.4496,76.64
600690.XSHG,2453,75.5628,16.6191,14.049,8.6,True,海尔智家,19.2511,77.17
600036.XSHG,2453,49.9253,10.3391,7.8077,4.5488,True,招商银行,12.0329,77.25
600221.XSHG,2453,122.526,17.0119,13.2299,-31.9308,True,海航控股,21.9117,77.68
603993.XSHG,1294,139.6059,57.8512,46.5836,20.3696,True,洛阳钼业,83.2271,77.74
600031.XSHG,2453,5591.0054,74.7823,19.5261,-1233.7169,True,三一重工,41.2786,77.75
601939.XSHG,2453,41.1361,8.9352,7.0162,4.3661,True,建设银行,10.0793,78.11
600741.XSHG,2453,266.167,11.8405,9.7637,-520.6608,True,华域汽车,13.6114,78.86
600111.XSHG,2453,850.3056,93.4456,68.5397,-477.0458,True,北方稀土,127.3683,79.28
600362.XSHG,2453,310.8351,-30.254,19.7003,-1857.8872,True,江西铜业,50.5141,79.36
600489.XSHG,2453,428.3895,27.7491,57.0088,-1753.004,True,中金黄金,134.8448,79.55
300122.XSHE,1785,1124.8736,186.5987,112.1293,39.3138,True,智飞生物,172.0934,79.72
601899.XSHG,2377,97.7016,31.4849,27.0263,10.6798,True,紫金矿业,42.7431,79.89
000166.XSHE,736,156.0948,30.7553,20.884,8.7895,True,申万宏源,24.1403,79.89
600795.XSHG,2453,197.9666,25.2924,15.5255,5.0758,True,国电电力,27.4155,80.15
000961.XSHE,2453,620.3201,50.1902,20.1214,5.9612,True,ST中南,86.6091,80.47
600009.XSHG,2453,58.8115,23.2069,20.6329,12.494,True,上海机场,26.6239,80.47
601818.XSHG,1811,24.865,6.9239,6.1394,4.1446,True,光大银行,8.0598,80.95
601336.XSHG,1488,46.8327,24.7966,23.1114,10.499,True,新华保险,36.3087,81.32
601111.XSHG,2453,104.8903,4.369,13.7775,-324.3867,True,中国国航,24.264,81.72
000839.XSHE,2453,208.161,87.9683,74.1277,19.9228,True,国安股份,133.5801,81.86
000002.XSHE,2453,81.9709,14.8586,12.1577,5.2093,True,万科A,18.5319,82.35
000671.XSHE,2453,90.2775,18.5646,18.0505,-157.6231,True,ST阳光城,27.7028,82.65
600021.XSHG,2453,677.3407,51.9053,21.7911,-28.8617,True,上海电力,46.8608,82.98
601958.XSHG,2383,1378.7304,-56.7645,78.9696,-7330.6462,True,金钼股份,196.2752,84.02
600660.XSHG,2453,868.2641,34.9483,13.261,7.8968,True,福耀玻璃,22.4233,84.39
002044.XSHE,2453,787.4372,65.8462,71.6828,-427.1643,True,美年健康,135.3303,84.56
601288.XSHG,1835,13.8804,6.5538,6.0304,4.3976,True,农业银行,7.6671,85.01
601989.XSHG,1975,215.8616,10.1606,35.4412,-713.5707,True,中国重工,134.0809,86.05
000157.XSHE,2453,440.7448,-17.9539,10.1168,-432.1573,True,中联重科,31.3544,86.97
002470.XSHE,1796,91.3881,26.4771,22.5364,15.9767,True,金正大,36.2363,87.47
000651.XSHE,2453,56.0514,13.0423,11.7045,6.3394,True,格力电器,17.5703,87.81
000858.XSHE,2453,120.4226,24.9784,21.7597,5.9466,True,五粮液,38.1178,87.97
601857.XSHG,2453,236.5045,35.176,17.6442,10.468,True,中国石油,72.3904,88.38
600588.XSHG,2453,237.4705,62.0349,44.5514,17.5016,True,用友网络,116.3627,88.79
601333.XSHG,2453,100.0448,25.5723,22.0921,10.9136,True,广深铁路,39.4392,90.22
601933.XSHG,1734,113.8746,46.9301,47.5402,25.3736,True,永辉超市,60.0354,90.25
601117.XSHG,1960,44.7147,16.2387,14.0739,7.3878,True,中国化学,23.3506,90.61
002415.XSHE,1866,57.0447,31.5206,32.0001,17.1971,True,海康威视,43.4608,90.94
601211.XSHG,635,30.7247,14.3241,12.8046,7.9356,True,国泰海通,19.5989,91.81
600519.XSHG,2453,103.3399,26.4935,25.5359,8.8331,True,贵州茅台,40.2837,92.99
600050.XSHG,2453,1071.7016,81.9481,38.7529,5.841,True,中国联通,224.2976,93.07
600583.XSHG,2453,396.6452,19.8601,25.3531,-136.5569,True,海油工程,64.2529,93.71
002508.XSHE,1750,58.0334,27.6303,27.047,18.2134,True,老板电器,35.0105,93.89
000568.XSHE,2453,125.3,26.4562,26.839,5.8636,True,泸州老窖,41.6792,94.13
601633.XSHG,1540,21.5084,13.3412,12.4544,7.5382,True,长城汽车,18.3659,94.22
600196.XSHG,2453,62.298,21.4915,20.82,7.7012,True,复星医药,35.2552,94.5
600023.XSHG,939,33.7105,13.3901,12.8208,8.8755,True,浙能电力,19.2956,94.99
002230.XSHE,2368,263.8923,90.3653,80.205,27.023,True,科大讯飞,223.2222,96.71
600570.XSHG,2453,1470.9349,-6.7319,49.159,-2789.6087,True,恒生电子,308.8257,96.95
600011.XSHG,2453,193.1792,16.5211,14.1535,-92.8166,True,华能国际,177.244,98.01
600436.XSHG,2453,90.1569,42.7449,42.8664,19.3219,True,片仔癀,63.1192,98.41
600276.XSHG,2453,86.5414,45.0713,43.6187,31.5076,True,恒瑞医药,73.1357,98.53
603833.XSHG,208,50.8871,44.657,45.0047,31.5265,True,欧派家居,50.4627,98.56
000333.XSHE,1064,24.107,13.5847,13.0049,8.0431,True,美的集团,24.0604,99.91
601155.XSHG,483,24.5637,12.7591,12.427,10.2845,True,新城控股,24.5637,100.0
000063.XSHE,0,,,,,False,中兴通讯,-111.8768,
000503.XSHE,0,,,,,False,国新健康,-919.6169,
000792.XSHE,0,,,,,False,盐湖股份,-54.8466,
600100.XSHG,0,,,,,False,同方股份,-31.3488,
600685.XSHG,0,,,,,False,中船防务,-307.7863,
600871.XSHG,0,,,,,False,石化油服,-3.923,
601608.XSHG,0,,,,,False,中信重工,-14.7628,
