date,策略净值,银行ETF基准净值,芯片ETF基准净值
2023-09-14,14425.51,14174.503464203231,14437.349639133921
2023-09-15,14452.07,14108.452655889147,14634.1218925421
2023-09-18,14350.289999999999,14125.26558891455,14314.855653568566
2023-09-19,14366.210000000001,14205.727482678984,14211.908580593425
2023-09-20,14339.77,14254.965357967669,14046.411387329592
2023-09-21,14253.43,14170.900692840645,13956.495589414595
2023-09-22,14491.329999999998,14316.21247113164,14363.0713712911
2023-09-25,14426.93,14316.21247113164,14180.633520449079
2023-09-26,14347.45,14256.166281755197,14065.958299919805
2023-09-27,14276.009999999998,14174.503464203231,14013.833199679228
2023-09-28,14384.369999999999,14203.325635103925,14299.21812349639
2023-10-09,14317.349999999999,14114.45727482679,14266.63993584603
2023-10-10,14323.519999999999,14072.424942263278,14346.130713712912
2023-10-11,14412.83,14056.812933025403,14593.72493985565
2023-10-12,14587.659999999998,14247.75981524249,14740.978348035283
2023-10-13,14556.15,14248.960739030023,14660.184442662388
2023-10-16,14390.769999999999,14236.951501154734,14264.033680834002
2023-10-17,14493.699999999999,14281.385681293303,14454.290296712106
2023-10-18,14400.869999999997,14244.157043879906,14278.368083400159
2023-10-19,14286.659999999998,13921.108545034642,14484.262229350441
2023-10-20,14155.989999999998,13893.487297921478,14198.877305533279
2023-10-23,13935.04,13798.614318706695,13789.695268644748
2023-10-24,13984.809999999998,13708.545034642031,14051.62389735365
2023-10-25,14016.9,13743.371824480371,14078.98957497995
2023-10-26,14102.279999999999,13865.866050808316,14106.355252606254
2023-10-27,14182.119999999999,13846.651270207853,14335.705693664797
2023-10-30,14224.07,13619.676674364897,14786.58781074579
2023-10-31,14249.71,13653.302540415705,14799.619085805933
2023-11-01,14238.16,13649.699769053117,14776.162790697672
2023-11-02,14191.18,13728.960739030023,14537.690457097033
2023-11-03,14339.009999999998,13694.133949191686,14961.206896551723
2023-11-06,14437.61,13698.937644341802,15200.98235765838
2023-11-07,14475.239999999998,13688.12933025404,15311.748195669607
2023-11-08,14516.74,13628.083140877598,15507.217321571772
2023-11-09,14456.209999999997,13689.330254041568,15262.229350441057
2023-11-10,14405.079999999998,13587.251732101617,15289.59502806736
2023-11-13,14420.369999999999,13526.004618937646,15421.21090617482
2023-11-14,14554.8,13563.233256351037,15701.383319967923
2023-11-15,14548.970000000001,13622.078521939955,15597.133119486767
2023-11-16,14430.8,13606.466512702078,15324.779470729749
2023-11-17,14427.86,13527.205542725174,15438.151563753008
2023-11-20,14486.33,13602.863741339492,15469.426623897354
2023-11-21,14410.349999999999,13629.284064665126,15238.773055332798
2023-11-22,14274.970000000001,13583.648960739029,14969.02566158781
2023-11-23,14336.429999999998,13581.247113163972,15126.704089815557
2023-11-24,14226.399999999998,13582.4480369515,14849.137931034482
2023-11-27,14287.18,13483.972286374135,15151.463512429831
2023-11-28,14273.47,13432.332563510392,15195.76984763432
2023-11-29,14166.3,13277.413394919167,15163.191659983962
2023-11-30,14218.92,13337.459584295613,15203.58861267041
2023-12-01,14223.98,13315.842956120094,15249.198075380911
2023-12-04,14163.48,13270.207852193997,15167.101042502005
2023-12-05,13915.33,13079.260969976905,14836.10665597434
2023-12-06,13883.11,13028.822170900692,14832.197273456297
2023-12-07,13840.310000000001,13057.644341801386,14681.034482758621
2023-12-08,13959.35,13033.625866050808,15015.938251804333
2023-12-11,14111.919999999998,13097.274826789839,15301.32317562149
2023-12-12,14164.16,13241.3856812933,15212.71050521251
2023-12-13,13988.659999999998,13085.265588914548,15010.725741780272
2023-12-14,13931.79,13033.625866050808,14946.872493985566
2023-12-15,13817.72,12981.986143187065,14739.675220529269
