date,FAPP,DIV_bench,NDX_bench,BOND_bench,GOLD_bench
2025-04-30,22994438.85779556,22150000.0,30829694.323144104,12997962.448109075,27037457.85811635
2025-05-06,23158538.505795557,22178000.0,31179039.301310044,12999581.064097192,27450618.08096024
2025-05-07,23269833.31379556,22374000.0,31288209.606986903,12984061.393152302,27668756.425890062
2025-05-08,23279584.38579556,22490000.0,31637554.585152842,13000533.191149026,27255959.63943285
2025-05-09,23316010.35379556,22666000.0,31637554.585152842,13003579.997714894,27213705.37742391
2025-05-12,23329517.67379556,22674000.0,32903930.131004367,12954069.391019538,26304684.02553619
2025-05-13,23521546.75379556,22910000.0,33384279.475982532,12973111.932056215,26462864.930779718
2025-05-14,23543069.329795558,23041999.999999996,33558951.9650655,12966351.829988195,26276871.57783995
2025-05-15,23346256.441795558,22950000.0,33580786.026200876,12956164.070533572,25495693.75702365
2025-05-16,23419339.98579556,22806000.0,33733624.45414847,12956259.283238754,25861540.30079143
2025-05-19,23503218.625795558,22850000.0,33755458.515283845,12973873.63369768,26136747.722545013
2025-05-20,23490628.48179556,22932000.0,33624454.148471616,12970445.976311078,26102795.11273701
2025-05-21,23600039.68179556,23076000.0,33187772.92576419,12966637.468103744,26804877.698873825
2025-05-22,23665635.84179556,23186000.0,33209606.986899566,12963305.023422325,26963785.476890706
2025-05-23,23548358.34579556,23006000.000000004,32903930.131004367,12965780.553757092,26890476.532051742
2025-05-26,23505601.121795557,22918000.0,32882096.069868997,12970922.039836993,26805958.443918414
2025-05-27,23619996.985795557,22961999.999999996,33668122.27074236,12964828.426705258,26626832.12586376
2025-05-28,23629503.233795557,23074000.0,33537117.903930128,12960734.280382372,26659694.42651173
2025-05-29,23578189.90579556,23048000.0,33602620.08733624,12949118.33035,26426023.958109174
2025-05-30,23640853.12979556,23128000.000000004,33537117.903930128,12971588.528773276,26627912.870908353
2025-06-03,23872920.85779556,23368000.000000004,34061135.37117904,12969874.700079978,26966673.839753244
2025-06-04,23925201.40979556,23474000.0,34148471.615720525,12976349.164032448,26995930.46888076
2025-06-05,23841842.465795558,23298000.0,33864628.8209607,12976730.01485318,27056968.65361165
2025-06-06,23913590.72179556,23350000.0,34192139.737991266,12995201.279658757,27011099.155966815
2025-06-09,23871627.281795558,23360000.0,34257641.92139738,13000437.978443842,26745283.695574205
2025-06-10,23923694.441795558,23396000.0,34475982.53275109,12999961.914917924,26757564.01979772
2025-06-11,23930940.48179556,23440000.0,34344978.16593887,13010911.376014015,26827994.16588958
2025-06-12,24007835.48179556,23525999.999999996,34410480.349344976,13006626.804280763,27030600.387346677
2025-06-13,23970124.233795557,23362000.0,33951965.06550219,13007864.569448147,27428228.48671784
2025-06-16,24067444.31379556,23492000.0,34454148.47161572,13010244.88707773,27294608.229921337
2025-06-17,23951404.26579556,23438000.0,34082969.43231441,13021956.049815286,27119804.89204505
2025-06-18,23976441.74579556,23578000.0,34082969.43231441,13021956.049815286,27073218.085742295
2025-06-19,23927303.56979556,23518000.0,34082969.43231441,13022051.262520468,26919723.597063817
2025-06-20,23925592.80979556,23636000.0,33908296.94323144,13024907.643675972,26917915.97924587
2025-06-23,24033144.21779556,23774000.0,34279475.98253275,13024145.942034502,26937063.3383545
2025-06-24,24066073.37779556,23828000.0,34781659.38864629,13015100.735042084,26622136.145183273
2025-06-25,24139926.04179556,24009999.999999996,34847161.572052404,13006626.804280763,26709896.468450375
2025-06-26,24243556.37779556,24118000.0,35152838.427947596,13014148.607990248,26783932.28606269
2025-06-27,24099532.88179556,23746000.0,35305676.8558952,13016148.074799098,26426387.394495852
2025-06-30,24131364.39445128,23702000.0,35502183.406113535,13014053.395285066,26463228.367166396
2025-07-01,24207830.79605128,23944000.0,35174672.48908297,13022527.326046385,26755402.529708534
2025-07-02,24252915.75125128,23996000.0,35436681.22270742,13031953.38385954,26680639.839322865
2025-07-03,24353228.91245128,24002000.0,35764192.139737986,13032810.298206192,26868077.373693902
2025-07-04,24378391.060051277,24232000.0,35764192.139737986,13033286.361732109,26720732.61124262
2025-07-07,24330056.38005128,24356000.0,35480349.34497816,13036047.530182427,26576266.64753844
2025-07-08,24346687.257251278,24302000.0,35502183.406113535,13030334.767871423,26704837.05138321
2025-07-09,24361274.38125128,24434000.0,35764192.139737986,13031286.894923257,26424225.904406667
2025-07-10,24425102.81365128,24562000.0,35698689.95633188,13014910.309631715,26643444.994381085
2025-07-11,24350742.776851278,24338000.0,35611353.71179039,13010911.376014015,26640556.631518546
2025-07-14,24470790.842851277,24510000.0,35720524.017467245,13004532.124766728,26906725.964182388
2025-07-15,24419208.526851278,24286000.0,35764192.139737986,13023669.878508588,26859048.848719604
2025-07-16,24376841.21845128,24196000.0,35829694.3231441,13019480.519480517,26733366.80773737
2025-07-17,24390200.69045128,24150000.0,36048034.93449782,13018909.243249418,26681720.584367454
2025-07-18,24439691.94245128,24268000.0,36048034.93449782,13017195.414556118,26770571.21679459
2025-07-21,24497112.66565128,24266000.0,36244541.48471616,13005293.826408194,26902393.419888582
2025-07-22,24487566.70565128,24308000.0,36026200.873362444,12990535.857104773,27006403.175286327
2025-07-23,24576329.95405128,24340000.0,36157205.240174666,12978062.992725747,27287741.195036225
2025-07-24,24419326.96725128,24148000.0,36222707.42358079,12944738.545911567,26832326.710183393
2025-07-25,24387636.45925128,23980000.0,36331877.72925764,12948832.692234451,26791153.193219043
2025-07-28,24381353.004851278,23896000.0,36484716.15720524,12966923.106219292,26706644.669201158
2025-07-29,24286772.213651277,23758000.0,36419213.973799124,12932646.532353276,26564349.759701602
2025-07-30,24345882.21645128,23858000.0,36441048.0349345,12963685.874243058,26632608.85158884
2025-07-31,24236981.30285128,23576000.0,36288209.6069869,12979395.970598316,26551705.99909141
2025-08-01,24112276.36125128,23567999.999999996,35567685.58951965,12980157.672239782,26549181.07261555
2025-08-04,24321406.21845128,23708000.0,36179039.30131004,12982537.989869367,26849666.45147407
2025-08-05,24380700.95165128,24004000.0,35895196.50655022,12986822.561602619,26982205.963225976
2025-08-06,24465714.835251275,24028000.0,36375545.851528384,12993201.812849903,26957281.87839227
2025-08-07,24527858.36365128,24104000.0,36462882.096069865,13003960.848535627,27058049.39865624
2025-08-08,24608964.47965128,24140000.0,36834061.13537118,13004436.912061546,27095971.11637138
2025-08-11,24472720.03005128,23978000.0,36703056.76855895,12977682.141905013,26831245.9651388
2025-08-12,24560833.614851277,24068000.0,37205240.174672484,12969779.487374796,26759008.201228995
2025-08-13,24538218.255651277,23942000.0,37183406.11353712,12973302.357466578,26809573.679554313
2025-08-14,24528866.97165128,23936000.0,37161572.052401744,12962828.959896406,26812825.47880353
2025-08-15,24463763.27645128,23864000.0,36986899.56331878,12951879.498800319,26760098.510389026
2025-08-18,24465250.847251277,23932000.000000004,36965065.50218341,12910842.822866281,26790435.88456113
2025-08-19,24377899.87485128,23944000.0,36462882.096069865,12924077.388886772,26741314.587667078
2025-08-20,24364732.69485128,24128000.0,36266375.54585153,12914651.331073616,26643808.430767763
2025-08-21,24380562.330051277,24251999.999999996,36048034.93449782,12930932.703659974,26704473.614996534
2025-08-22,24450516.60885128,24174000.000000004,36615720.52401747,12919031.115512053,26699423.762044806
2025-08-25,24513512.73085128,24382000.0,36441048.0349345,12938168.869253913,26834851.636659257
2025-08-26,24538219.65125128,24330000.0,36593886.4628821,12943024.717218265,26877469.33505488
2025-08-27,24436322.430851277,23900000.0,36615720.52401747,12934931.637277678,26910695.072089523
2025-08-28,24483771.84165128,23942000.0,36812227.074235804,12912175.800738847,26971733.25682041
2025-08-29,24396829.780051276,23834000.0,36353711.79039301,12920744.944205353,27035296.368027166
2025-09-01,24498747.742051277,23800000.0,36375545.851528384,12932265.681532541,27480601.582861107
2025-09-02,24545765.34885128,24004000.0,36091703.05676856,12935883.76432951,27663343.13655166
2025-09-03,24607399.75125128,23740000.0,36375545.851528384,12956259.283238754,27975381.96686034
2025-09-04,24677114.119251277,23796000.0,36703056.76855895,12952641.200441785,27981885.565358777
2025-09-05,24665255.042851277,23682000.0,36746724.89082969,12934741.211867312,28060971.23592282
2025-09-08,24765475.400451276,23706000.0,36899563.318777286,12917793.35034467,28394318.915429313
2025-09-09,24887737.99045128,23809999.999999996,36986899.56331878,12909128.994172981,28767032.49408221
2025-09-10,24854526.261651278,23769999.999999996,37030567.68558952,12881802.947785353,28689018.00444732
2025-09-11,24894868.174451277,23847999.999999996,37248908.296943225,12900845.488822028,28577423.90550654
2025-09-12,24908499.28525128,23672000.0,37379912.66375546,12913127.927790683,28711053.72641848
2025-09-15,24904262.72085128,23492000.0,37729257.6419214,12912747.07696995,28633766.109556947
2025-09-16,24963192.640851278,23404000.0,37663755.45851529,12933693.872110294,28996724.29046219
2025-09-17,24920907.20405128,23478000.0,37576419.213973805,12950736.946338117,28759084.714152504
2025-09-18,24804788.856051277,23016000.0,37969432.314410485,12933598.65940511,28507357.19580136
2025-09-19,24894033.492051277,23152000.0,38253275.1091703,12911699.737212932,28579948.831982404
2025-09-22,24991815.634851277,22982000.0,38449781.65938865,12927409.83356819,29020204.19386462
2025-09-23,25066069.63705128,23158000.0,38144104.80349345,12913518.299881937,29405551.96901227
2025-09-24,25078369.91845128,23136000.0,38034934.49781659,12890733.899531553,29611773.426105253
2025-09-25,24974493.260051277,22950000.0,37903930.13100436,12900445.595460257,29441666.068909455
2025-09-26,25020577.15985128,22960000.0,38078602.62008734,12909195.64306661,29484647.203691754
2025-09-29,25114871.546451278,22950000.0,38209606.98689956,12902940.168336062,29824488.91758124
2025-09-30,25165593.480961792,22774000.0,38296943.23144105,12926990.897665383,30134356.693685293
2025-10-09,25580829.17626179,22810000.0,38973799.126637556,12945452.641200438,31499882.839585878
2025-10-10,25297088.88536179,22976000.0,37576419.213973805,12945357.428495258,31020998.01544605
2025-10-13,25679916.85096179,23114000.0,38362445.41484716,12958344.44148227,32023202.544054713
2025-10-14,25861707.689261794,23534000.0,38122270.74235808,12966608.904292189,32507864.09391962
2025-10-15,26063949.15486179,23654000.0,38362445.41484716,12962286.247476863,33138808.78942209
2025-10-16,26147294.058461793,23798000.0,38209606.98689956,12968436.98823171,33453372.546206634
