date,策略净值,基准净值,策略收益率
2024-03-07,14485799.321300011,13428636.486030096,0.016207777513242094
2024-03-08,14596871.321300011,13560645.223376675,0.007667647296250912
2024-03-11,14296485.321300011,13394621.144490926,-0.020578793454298028
2024-03-12,13943346.321300013,13059155.369126897,-0.024701106045544208
2024-03-13,13960224.321300011,13048438.238310492,0.0012104698263295521
2024-03-14,14067170.321300013,13115132.656273946,0.007660765152378568
2024-03-15,14023202.321300011,13138897.56143666,-0.003125575293094096
2024-03-18,13909659.321300011,13124703.692912422,-0.008096795396550616
2024-03-19,13972707.321300013,13102080.669805072,0.004532677511623673
2024-03-20,13942000.321300011,13171430.165620908,-0.0021976413943196604
2024-03-21,13997459.321300011,13164729.605818337,0.003977836660588263
2024-03-22,14090242.321300013,13167363.639370114,0.006628560074385392
2024-03-25,14258561.321300011,13260255.144195365,0.011945784619016298
2024-03-26,14100697.321300013,13261862.653011436,-0.011071523728286237
2024-03-27,13972422.321300011,13251198.476539368,-0.00909706783126496
2024-03-28,14019961.321300011,13266659.048750453,0.003402344912487365
2024-03-29,14191096.321300011,13412562.222531572,0.012206524403173713
2024-04-01,14177467.480600016,13436881.986406863,-0.0009603796909996021
2024-04-02,14249346.480600014,13509688.340296231,0.005069946384878232
2024-04-03,14687479.480600016,13628661.57819973,0.030747585553941414
2024-04-08,14543460.480600014,13660317.90428388,-0.009805562635183951
2024-04-09,14510931.480600016,13540470.007821366,-0.0022366753802088857
2024-04-10,14701053.480600016,13633870.186417598,0.013101984545525358
2024-04-11,14956881.480600016,13682149.373311302,0.017402018184451862
2024-04-12,15009011.480600016,13658958.815245716,0.003485352215140347
2024-04-15,15342210.480600016,13979306.809102042,0.022199929717601874
2024-04-16,15115152.480600014,13946958.908362083,-0.014799562311253234
2024-04-17,15322533.480600016,14084647.687969774,0.013720073301686675
2024-04-18,15270252.480600016,14016365.741384042,-0.0034120336605035773
2024-04-19,15188378.480600016,14087798.075012563,-0.005361666423264189
2024-04-22,15043611.480600016,13934637.723135523,-0.00953143221871311
2024-04-23,14666263.480600016,13725988.05229861,-0.025083604458053244
2024-04-24,14548419.480600016,13746877.740734119,-0.008035039064713367
2024-04-25,14609431.480600016,13817915.8448972,0.0041937201550559244
2024-04-26,14638530.480600016,13870596.986405393,0.0019917955081716343
2024-04-29,14526839.480600016,13752361.148766018,-0.0076299325364673765
2024-04-30,14608578.480600016,13884236.762554334,0.005626757293570872
2024-05-06,14709610.480600016,13932014.818497488,0.006915936422847047
2024-05-07,14789696.480600016,13952055.718538648,0.0054444677583831425
2024-05-08,14892368.480600016,13965408.443307083,0.006942130295552573
2024-05-09,15113133.480600016,14022881.405581689,0.014824035564765081
2024-05-10,15040927.480600016,14115718.130543638,-0.00477769882021406
2024-05-13,14897074.480600016,14118146.687100887,-0.009564104353640634
2024-05-14,14843784.480600016,14029673.462268328,-0.0035772124298228958
2024-05-15,14730114.480600016,13949525.682942806,-0.007657750632836247
2024-05-16,14588392.480600016,13902686.582153559,-0.009621242264386431
2024-05-17,14741945.480600016,13993376.937556121,0.010525697070749906
2024-05-20,15314713.480600016,14175463.67035698,0.038852945206841794
2024-05-21,15328964.480600016,14203991.493446453,0.0009305430374555446
2024-05-22,15449971.480600016,14193861.655465793,0.007894010071792135
2024-05-23,15149372.480600016,14061032.524928354,-0.019456281869351777
2024-05-24,15099492.480600016,14059868.351079186,-0.00329254561955461
2024-05-27,15363055.480600016,14293320.627339875,0.017455089986542882
2024-05-28,15248330.480600016,14282829.437360328,-0.007467590034083482
2024-05-29,15354223.480600016,14317851.942536544,0.006944563546463334
2024-05-30,15124206.480600016,14189166.307478394,-0.014980698977752005
2024-05-31,15086630.480600016,14148323.331344519,-0.0024844939830859225
2024-06-03,14973877.480600014,14170190.120654186,-0.007473703299420764
2024-06-04,14948129.480600016,14190876.158481898,-0.0017195278933834768
2024-06-05,14837630.480600014,14083763.987010133,-0.007392162353384024
2024-06-06,15140926.480600016,14250260.310810473,0.020440999686341943
2024-06-07,15026140.480600016,14293103.605518308,-0.007581174120822487
2024-06-11,14875219.480600016,14097504.311109677,-0.01004389651453419
2024-06-12,15202282.480600016,14246516.20298922,0.021987104151743653
2024-06-13,15058357.480600016,14174815.828098323,-0.00946732835570352
2024-06-14,15097629.480600016,14193153.400416568,0.002607986963425013
2024-06-17,14870599.480600016,14030159.936075322,-0.01503746003912243
2024-06-18,14810586.480600016,14105068.860474154,-0.004035681283615533
2024-06-19,14661674.480600016,14146701.48739683,-0.010054429660503739
2024-06-20,14627103.480600014,14214647.759516371,-0.0023579162152144173
2024-06-21,14536671.480600014,14174292.32191274,-0.006182495401084731
2024-06-24,14356636.480600016,14186017.364795234,-0.012384884685621822
2024-06-25,14312440.480600016,14207301.768004643,-0.0030784369347041096
2024-06-26,14254286.480600016,14190006.417572811,-0.004063178469026707
2024-06-27,14017141.480600016,14180194.607643038,-0.01663674995747788
2024-06-28,14143356.480600014,14375136.45146572,0.00900433231516451
